Date,Daily Max 1-hour NO2 Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE
8/17/2020,12,ppb,11,24,100
8/18/2020,19.1,ppb,18,24,100
8/19/2020,24.5,ppb,23,24,100
8/20/2020,20.1,ppb,19,21,88
8/21/2020,16.3,ppb,15,24,100
8/22/2020,16.5,ppb,15,24,100
8/23/2020,11.9,ppb,10,20,83
8/24/2020,29.2,ppb,27,24,100
8/25/2020,27.9,ppb,25,24,100
8/26/2020,26.2,ppb,25,24,100
8/27/2020,27.5,ppb,25,24,100
8/28/2020,22.2,ppb,21,24,100
8/29/2020,6.9,ppb,6,24,100
8/30/2020,7.9,ppb,7,20,83
9/3/2020,29.2,ppb,27,24,100
9/4/2020,21.3,ppb,20,24,100
9/5/2020,13.4,ppb,12,24,100
9/6/2020,10.6,ppb,9,20,83
9/7/2020,14.7,ppb,13,24,100
9/8/2020,22.8,ppb,21,24,100
9/9/2020,2.3,ppb,2,24,100
9/10/2020,4.9,ppb,4,24,100
9/11/2020,28.1,ppb,26,24,100
9/12/2020,20.6,ppb,19,24,100
9/13/2020,12.4,ppb,11,20,83
9/14/2020,23.7,ppb,22,24,100
9/15/2020,20.5,ppb,19,24,100
9/16/2020,23.5,ppb,22,24,100
9/17/2020,14.3,ppb,13,20,83
9/18/2020,24.5,ppb,23,24,100
9/19/2020,14.2,ppb,13,24,100
9/20/2020,13.1,ppb,12,19,79
9/21/2020,21.4,ppb,20,24,100
9/22/2020,26.4,ppb,25,24,100
9/23/2020,25.9,ppb,24,24,100
9/24/2020,23.7,ppb,22,24,100
9/25/2020,24.4,ppb,23,24,100
9/26/2020,21.8,ppb,20,24,100
9/27/2020,9.3,ppb,8,19,79
9/28/2020,10.3,ppb,9,24,100
9/29/2020,17.6,ppb,16,24,100
9/30/2020,31,ppb,29,24,100
10/1/2020,29.4,ppb,27,24,100
10/2/2020,31.4,ppb,29,24,100
10/3/2020,22.9,ppb,21,24,100
10/4/2020,20.6,ppb,19,19,79
10/5/2020,27.1,ppb,25,24,100
10/6/2020,27.2,ppb,25,24,100
10/7/2020,33.5,ppb,31,24,100
10/8/2020,31,ppb,29,24,100
10/9/2020,28.3,ppb,26,24,100
10/10/2020,20.4,ppb,19,24,100
10/11/2020,12.4,ppb,11,19,79
10/12/2020,27,ppb,25,24,100
10/14/2020,35.8,ppb,33,24,100
10/15/2020,28.6,ppb,26,24,100
10/16/2020,26.5,ppb,25,24,100
10/17/2020,22.9,ppb,21,24,100
10/18/2020,19.6,ppb,18,19,79
10/19/2020,25.3,ppb,24,24,100
10/20/2020,25.2,ppb,24,24,100
10/21/2020,25.6,ppb,24,24,100
10/22/2020,22.3,ppb,21,21,88
10/23/2020,23.1,ppb,22,24,100
10/24/2020,9.2,ppb,8,24,100
10/25/2020,8,ppb,8,19,79
10/26/2020,3,ppb,3,24,100
10/27/2020,17,ppb,16,24,100
10/28/2020,24.3,ppb,23,24,100
10/29/2020,28.2,ppb,26,24,100
10/30/2020,27.2,ppb,25,24,100
10/31/2020,26.4,ppb,25,24,100
11/1/2020,28.2,ppb,26,19,79
11/2/2020,29,ppb,27,24,100
11/3/2020,32.1,ppb,30,24,100
11/4/2020,25.1,ppb,24,24,100
11/5/2020,33.2,ppb,31,24,100
11/6/2020,22.3,ppb,21,24,100
11/7/2020,24.6,ppb,23,24,100
11/8/2020,2.3,ppb,2,19,79
11/9/2020,12,ppb,11,24,100
11/10/2020,25.5,ppb,24,24,100
11/11/2020,30.2,ppb,28,24,100
11/12/2020,34.8,ppb,32,24,100
11/13/2020,32.6,ppb,30,24,100
11/14/2020,19.9,ppb,18,24,100
11/15/2020,25.8,ppb,24,19,79
11/16/2020,33.9,ppb,31,24,100
11/17/2020,33.6,ppb,31,24,100
11/18/2020,31.1,ppb,29,24,100
11/19/2020,22.7,ppb,21,20,83
11/20/2020,27.1,ppb,25,24,100
11/21/2020,31.4,ppb,29,24,100
11/22/2020,12.4,ppb,11,19,79
11/23/2020,17.2,ppb,16,24,100
11/24/2020,10.6,ppb,9,24,100
11/25/2020,27,ppb,25,24,100
11/26/2020,27.4,ppb,25,24,100
