Date,Daily Max 1-hour NO2 Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE
9/4/2017,16,ppb,15,24,100
9/5/2017,25,ppb,24,24,100
9/6/2017,12,ppb,11,24,100
9/7/2017,39,ppb,37,24,100
9/8/2017,22,ppb,21,24,100
9/9/2017,14,ppb,13,24,100
9/10/2017,9,ppb,8,22,92
9/11/2017,36,ppb,34,22,92
9/12/2017,19,ppb,18,24,100
9/13/2017,14,ppb,13,23,96
9/14/2017,13,ppb,12,24,100
9/15/2017,7,ppb,7,24,100
9/16/2017,15,ppb,14,24,100
9/17/2017,8,ppb,8,22,92
9/18/2017,9,ppb,8,21,88
9/19/2017,9,ppb,8,20,83
9/20/2017,5,ppb,5,24,100
9/21/2017,12,ppb,11,24,100
9/22/2017,14,ppb,13,24,100
9/23/2017,9,ppb,8,24,100
9/24/2017,15,ppb,14,22,92
9/25/2017,17,ppb,16,24,100
9/26/2017,18,ppb,17,23,96
9/27/2017,9,ppb,8,24,100
9/28/2017,5,ppb,5,22,92
9/29/2017,6,ppb,6,24,100
9/30/2017,21,ppb,20,24,100
10/1/2017,8,ppb,8,22,92
10/2/2017,4,ppb,4,24,100
10/3/2017,13,ppb,12,24,100
10/4/2017,9,ppb,8,24,100
10/5/2017,12,ppb,11,24,100
10/6/2017,18,ppb,17,24,100
10/7/2017,21,ppb,20,24,100
10/8/2017,39,ppb,37,22,92
10/9/2017,9,ppb,8,24,100
10/10/2017,7,ppb,7,24,100
10/11/2017,31,ppb,29,24,100
10/12/2017,34,ppb,32,24,100
10/13/2017,28,ppb,26,24,100
10/14/2017,11,ppb,10,24,100
10/15/2017,13,ppb,12,22,92
10/16/2017,36,ppb,34,24,100
10/17/2017,24,ppb,23,24,100
10/18/2017,39,ppb,37,24,100
10/19/2017,22,ppb,21,24,100
10/20/2017,23,ppb,22,24,100
10/21/2017,12,ppb,11,24,100
10/22/2017,12,ppb,11,22,92
10/23/2017,37,ppb,35,23,96
